Open Time,Open Time,Open Price,High Price,Low Price,Close Price,Volume,Close Time,Quote Asset Volume,Number Of Trades,Taker Buy Base,Taker Buy Quote,Unused
2023-07-18 03:00:00,2023-07-18 03:00:00,30120.0,30148.76,30073.96,30073.96,709.93814,1689652799999,21377122.661961,17289,228.28383,6874181.4695569,0
2023-07-18 04:00:00,2023-07-18 04:00:00,30073.97,30118.19,30040.78,30118.19,1003.20525,1689656399999,30172705.2279875,20633,407.95934,12271190.4578615,0
2023-07-18 05:00:00,2023-07-18 05:00:00,30118.19,30118.19,30040.0,30052.22,530.88448,1689659999999,15966523.6583215,15061,206.8022,6219571.962393,0
2023-07-18 06:00:00,2023-07-18 06:00:00,30052.23,30097.09,29921.54,29988.62,1388.9038,1689663599999,41675613.3083125,40673,610.27999,18312443.0353777,0
2023-07-18 07:00:00,2023-07-18 07:00:00,29988.61,30040.39,29926.7,29968.13,1151.28365,1689667199999,34538276.6088908,27294,589.87374,17698080.3832845,0
2023-07-18 08:00:00,2023-07-18 08:00:00,29968.13,30111.68,29881.0,30021.99,1610.96253,1689670799999,48321422.3839906,40869,733.31672,21997629.0135177,0
2023-07-18 09:00:00,2023-07-18 09:00:00,30022.0,30039.47,29950.01,29956.94,784.77762,1689674399999,23539371.1498802,21755,341.89704,10255093.8971697,0
2023-07-18 10:00:00,2023-07-18 10:00:00,29956.95,30029.84,29908.0,29990.65,1128.41237,1689677999999,33811841.461317,25626,530.21864,15886810.9274895,0
2023-07-18 11:00:00,2023-07-18 11:00:00,29990.65,30073.41,29810.0,29884.01,1843.38729,1689681599999,55197264.9233918,39288,827.66878,24784304.1051203,0
2023-07-18 12:00:00,2023-07-18 12:00:00,29884.0,29918.2,29725.24,29784.0,2618.78592,1689685199999,78109456.1590252,64310,1241.18161,37018171.2110125,0
2023-07-18 13:00:00,2023-07-18 13:00:00,29783.99,29869.0,29675.0,29831.99,2150.871,1689688799999,64081345.2896874,51393,984.93895,29348082.0564104,0
2023-07-18 14:00:00,2023-07-18 14:00:00,29831.99,30034.15,29817.31,29924.78,2253.91802,1689692399999,67421205.8203307,52513,1172.50332,35073588.5209759,0
2023-07-18 15:00:00,2023-07-18 15:00:00,29924.77,29930.0,29837.83,29912.0,974.4072,1689695999999,29118696.3555318,29553,404.00549,12072648.7895174,0
2023-07-18 16:00:00,2023-07-18 16:00:00,29912.01,29964.99,29512.0,29701.2,3165.09583,1689699599999,94100355.3285167,69096,1307.06388,38857662.9959666,0
2023-07-18 17:00:00,2023-07-18 17:00:00,29701.2,29829.42,29670.87,29821.77,1642.29002,1689703199999,48846165.3354831,41669,832.15872,24754889.8667852,0
2023-07-18 18:00:00,2023-07-18 18:00:00,29821.76,29924.76,29791.43,29904.98,1240.42307,1689706799999,37045669.2109286,29748,635.53919,18980143.9960971,0
2023-07-18 19:00:00,2023-07-18 19:00:00,29904.98,29943.79,29680.76,29715.99,1173.23737,1689710399999,34979017.8998769,34268,513.36156,15309422.5076941,0
2023-07-18 20:00:00,2023-07-18 20:00:00,29715.98,29812.0,29690.65,29778.0,845.66485,1689713999999,25160553.3828906,21753,464.21302,13810685.8925941,0
